호선,출발역 ID,출발역,출발역 경도,출발역 위도,도착역 ID,도착역,도착역 경도,도착역 위도,소요시간
1,1919,연천,127.073673786091,38.1006071628556,1918,전곡,127.071725088088,38.0244410116172,8
1,1918,전곡,127.071725088088,38.0244410116172,1917,청산,127.074273958107,37.9950890028797,5
1,1917,청산,127.074273958107,37.9950890028797,1916,소요산,127.061128608638,37.9488975919392,6
1,1916,소요산,127.061128608638,37.9488975919392,1915,동두천,127.05492800053,37.9276132662293,4
1,1915,동두천,127.05492800053,37.9276132662293,1914,보산,127.0571810247491,37.914144018035586,2
1,1914,보산,127.0571810247491,37.914144018035586,1913,동두천중앙,127.05642330094,37.9017807357936,3
1,1913,동두천중앙,127.05642330094,37.9017807357936,1912,지행,127.05579309162063,37.892342734325595,2
1,1912,지행,127.05579309162063,37.892342734325595,1911,덕정,127.06155932141,37.8431876500694,5
1,1911,덕정,127.06155932141,37.8431876500694,1910,덕계,127.056691678415,37.8187525814885,3
1,1910,덕계,127.056691678415,37.8187525814885,1909,양주,127.044721319691,37.7741421622165,5
1,1909,양주,127.044721319691,37.7741421622165,1908,녹양,127.042279351606,37.759385253302,3
1,1908,녹양,127.042279351606,37.759385253302,1907,가능,127.044288264841,37.7483963196456,2
1,1907,가능,127.044288264841,37.7483963196456,1906,의정부,127.045956826767,37.7383624923599,2
1,1906,의정부,127.045956826767,37.7383624923599,1905,회룡,127.047295368138,37.7238058806629,3
1,1905,회룡,127.047295368138,37.7238058806629,1904,망월사,127.047418285506,37.7102191609902,3
1,1904,망월사,127.047418285506,37.7102191609902,1903,도봉산,127.04606271663916,37.68951167833238,3
1,1903,도봉산,127.04606271663916,37.68951167833238,1902,도봉,127.045534886672,37.6792119046658,2
1,1902,도봉,127.045534886672,37.6792119046658,1901,방학,127.044321721307,37.6674383662755,2
1,1901,방학,127.044321721307,37.6674383662755,1022,창동,127.047644999036,37.6533385121404,2
1,1022,창동,127.047644999036,37.6533385121404,1021,녹천,127.05138201885734,37.644633445567656,2
1,1021,녹천,127.05138201885734,37.644633445567656,1020,월계,127.058857087601,37.6332775453974,3
1,1020,월계,127.058857087601,37.6332775453974,1019,광운대,127.061695160651,37.6238373628149,3
1,1019,광운대,127.061695160651,37.6238373628149,1018,석계,127.06568946412851,37.61500552731744,2
1,1018,석계,127.06568946412851,37.61500552731744,1017,신이문,127.067398003775,37.6017816437084,3
1,1017,신이문,127.067398003775,37.6017816437084,1016,외대앞,127.06369251145765,37.596274142656114,1
1,1016,외대앞,127.06369251145765,37.596274142656114,1015,회기,127.058048369273,37.5897962196601,2
1,1015,회기,127.058048369273,37.5897962196601,158,청량리,127.04472723023305,37.580037056302906,3
