호선,출발역 ID,출발역,출발역 경도,출발역 위도,도착역 ID,도착역,도착역 경도,도착역 위도,소요시간
1,1919,연천,127.0736738,38.10060716,1918,전곡,127.0717251,38.02444101,8
1,1918,전곡,127.0717251,38.02444101,1917,청산,127.074274,37.995089,5
1,1917,청산,127.074274,37.995089,1916,소요산,127.0611286,37.94889759,6
1,1916,소요산,127.0611286,37.94889759,1915,동두천,127.054928,37.92761327,4
1,1915,동두천,127.054928,37.92761327,1914,보산,127.057181,37.91414402,2
1,1914,보산,127.057181,37.91414402,1913,동두천중앙,127.0564233,37.90178074,3
1,1913,동두천중앙,127.0564233,37.90178074,1912,지행,127.0557931,37.89234273,2
1,1912,지행,127.0557931,37.89234273,1911,덕정,127.0615593,37.84318765,5
1,1911,덕정,127.0615593,37.84318765,1910,덕계,127.0566917,37.81875258,3
1,1910,덕계,127.0566917,37.81875258,1909,양주,127.0447213,37.77414216,5
1,1909,양주,127.0447213,37.77414216,1908,녹양,127.0422794,37.75938525,3
1,1908,녹양,127.0422794,37.75938525,1907,가능,127.0442883,37.74839632,2
1,1907,가능,127.0442883,37.74839632,1906,의정부,127.0459568,37.73836249,2
1,1906,의정부,127.0459568,37.73836249,1905,회룡,127.0472954,37.72380588,3
1,1905,회룡,127.0472954,37.72380588,1904,망월사,127.0474183,37.71021916,3
1,1904,망월사,127.0474183,37.71021916,1903,도봉산,127.0460627,37.68951168,3
1,1903,도봉산,127.0460627,37.68951168,1902,도봉,127.0455349,37.6792119,2
1,1902,도봉,127.0455349,37.6792119,1901,방학,127.0443217,37.66743837,2
1,1901,방학,127.0443217,37.66743837,1022,창동,127.047645,37.65333851,2
1,1022,창동,127.047645,37.65333851,1021,녹천,127.051382,37.64463345,2
1,1021,녹천,127.051382,37.64463345,1020,월계,127.0588571,37.63327755,3
1,1020,월계,127.0588571,37.63327755,1019,광운대,127.0616952,37.62383736,3
1,1019,광운대,127.0616952,37.62383736,1018,석계,127.0656895,37.61500553,2
1,1018,석계,127.0656895,37.61500553,1017,신이문,127.067398,37.60178164,3
1,1017,신이문,127.067398,37.60178164,1016,외대앞,127.0636925,37.59627414,1
1,1016,외대앞,127.0636925,37.59627414,1015,회기,127.0580484,37.58979622,2
