주차장명,위도,경도
무료 공영주차장(6),37.81992768,127.3533731
청평역 공영주차장,37.73517175,127.4247854
청평면 공영주차장(1구역),37.73727129,127.4177135
상천역 공영주차장,37.76956799,127.4526477
가평읍 임시공영주차장(3),37.83364711,127.5098909
설악면 임시공영주차장(1),37.67891521,127.490111
청평면 임시공영주차장(3),37.73183633,127.411578
가평읍 노상주차장 6구간,37.82668736,127.5152381
레일바이크 공영주차장,37.82896761,127.5158522
운악산 주차장,37.86424803,127.3487022
조종면 공영주차장,37.81719152,127.3500878
적목리 공영주차장,38.01858069,127.4423112
도마치고개 공영주차장,,
가평읍 임시공영주차장(1),37.83011412,127.5103306
가평읍 임시공영주차장(2),37.83165364,127.5150118
가평읍 임시공영주차장(4),37.81475385,127.5095865
가평읍 임시공영주차장(5),37.82923277,127.5122503
가평읍 임시공영주차장(6),37.83618232,127.5070862
가평읍 임시공영주차장(7),37.81856791,127.514795
설악면 임시공영주차장(2),37.67886328,127.4916374
청평면 임시공영주차장(1),37.73600461,127.4178651
청평면 임시공영주차장(2),37.73916902,127.4229312
청평면 임시공영주차장(4),37.73833419,127.4233394
청평면 임시공영주차장(5),37.73757016,127.4235508
가평읍 노상주차장 1구간,37.82761612,127.5117497
가평읍 노상주차장 2구간,37.82917543,127.5113522
가평읍 노상주차장 3구간,37.83278084,127.5096936
가평읍 노상주차장 4구간,37.83407874,127.5097165
가평읍 노상주차장 5구간,37.83579129,127.5090462
가평읍 노상주차장 7구간,37.82857128,127.5138407
가평읍 노상주차장 8구간,37.83054532,127.5124888
가평읍 노상주차장 9구간,37.83223083,127.511955
가평읍 공영주차장,37.8306337,127.5119962
무료 공영주차장(4),37.92289052,127.3930017
무료 공영주차장(1),37.81323689,127.5120057
무료 공영주차장(2),37.73675584,127.4224949
무료 공영주차장(3),37.73318286,127.4134746
무료 공영주차장(5),37.82046344,127.3496551
무료 공영주차장(7),37.82025204,127.3464741
무료 공영주차장(8),37.92742741,127.4926722
무료 공영주차장(10),37.81638931,127.348875
자투리주차장(1),37.8343861,127.5080042
자투리주차장(2),37.81338352,127.5101913
자투리주차장(3),37.82579876,127.5121954
자투리주차장(4),37.83720008,127.5080108
자투리주차장(5),37.83909826,127.5050402
자투리주차장(6),37.73512552,127.4178218
어린이음악놀이터 옆 공영주차장,,
청평면 공영주차장(2구역),37.73404464,127.4181476
가평읍 임시공영주차장(8),37.82940978,127.5112727
설악면 공영주차장,37.6779193,127.4941334
무료 공영주차장(9),37.90259343,127.457214
백석 제2,37.63962209,126.789369
중산 제2,37.68525261,126.7801008
풍동 제1,37.67318145,126.7996209
풍동 제2,37.66772337,126.7980587
노상 4권역,37.62298299,126.8356822
주교 제1,37.65559808,126.8317753
주교 제2,37.65653289,126.8330257
화정역 환승,37.6349509,126.8321756
향동 제1,37.59975528,126.891352
한류월드 제3,37.65623805,126.7566786
한류월드 제4,37.65567213,126.7595286
삼송1통 임시,37.65493266,126.9027551
도로관리사업소 차량등록과 부설,37.66586075,126.8077365
행신2동행정복지센터 부설,37.61516244,126.8330211
능곡 제1,37.62323378,126.8180248
삼송동 자투리,37.65620507,126.8964102
지축역 임시,37.64833882,126.9145458
행주산성역사공원,37.59803998,126.8193197
백석공원,37.64247925,126.7953719
약산공영,37.68261262,126.7921064
일산역,37.68374434,126.7756709
대화,37.6826688,126.754305
탄현 제6,37.70575448,126.7674576
성사 제1,37.65355432,126.8385728
행신 제9,37.61461621,126.8433029
신도,37.65608365,126.8998098
서정 제2,37.6185329,126.8465802
행신 제8,37.62254812,126.8327229
노상 3권역,37.63819598,126.8322258
탄현 제2,37.69112704,126.7634712
행신 제6,37.6141034,126.8354213
일산서구청 부설,37.67791598,126.7452987
서정 제1,37.61897853,126.8452542
일산종합사회복지관 부설,37.68451565,126.768504
고양일산,37.6856602,126.7713962
정발산공원,37.66668081,126.7820812
일산동구청 부설,37.65886782,126.7749572
중산공원 부설,37.69149892,126.7799025
장항 제4,37.66100478,126.7677937
중산 제1,37.68359996,126.7781996
풍동 제3,37.66756943,126.8009742
행신 제1,37.61751589,126.8331927
탄현역 환승,37.69535006,126.761365
