주차장명,위도,경도
"용현1,4동제1노상주차장 경인남길30번길 100-8",37.45613149,126.7052992
연수역북광장임시주차장,37.42040349,126.6832989
학익1동 제1노상주차장 매소홀로 357번길,37.442205,126.6629565
학익1동 제2노상주차장 아암대로 227번길,37.44056,126.6370761
학익2동제2노상주차장 학익소로 63번길,37.44130245,126.6719327
연수역 남부 공영주차장,37.4184795,126.6782124
능허리주차장,37.41418238,126.6719504
동춘교하부공간주차장,37.4122915,126.6628545
상륙작전기념관주차장,37.41813726,126.6499615
옥련동 재래시장주차장,37.42462539,126.6472648
함박뫼로 50번길 일원 주차장,37.42142254,126.6737826
함박로 주차장,37.42142254,126.6737826
문남공원 일원 주차장,37.42205317,126.6770108
경인교대 환승,37.53843256,126.7218877
병방시장(노상),37.54830552,126.7406806
 동암역북,37.46828955,126.703171
매소홀로노상주차장,37.4603499,126.632583
화도진근린공원,37.48272797,126.6288998
민방위교육장 앞,37.47241675,126.6362879
대우중공업주변,37.48573763,126.6290092
만석부두입구,37.48922382,126.6203645
(신)만석고가교밑,37.48185629,126.6211596
선진슈퍼앞,37.48779445,126.6213555
송현학교길,37.47847629,126.6320753
오동나무길,37.48135006,126.631948
꽃재길,37.4820301,126.6304522
믿음길,37.48135006,126.631948
주공길,37.48125755,126.6283306
송화로 19번길,37.48282111,126.6298604
화도진중학교앞길,37.48383517,126.63431
수문통 (상가면),37.4788187,126.6349678
수문통 (삼두 A 앞면),37.4788187,126.6349678
수문통 (동부A 앞면),37.4788187,126.6349678
송현주공 후문,37.47816185,126.6410872
동구청 옆길,37.47500587,126.6432165
동명초교 앞길,37.47406896,126.6432549
서흥초등학교 주변,37.47620058,126.6479815
솔빛공원아래부근,37.47848842,126.6418092
선경어린이집 주변,37.47658452,126.6408914
송림로타리,37.47697984,126.6434784
서림초교 주변,37.47266993,126.6514122
동산고 옆,37.47562954,126.6498496
동사무소 앞길,37.47266169,126.6397459
우각로,37.47213633,126.6388441
금곡안로,37.47314804,126.639687
숭의4동제1노외주차장 수봉남로17번길 40-3 옆,37.45930235,126.6555324
평생학습관부설주차장 소성로 189,37.44147946,126.6676041
"숭의1,3동제1노상주차장 경인로7번길 45",37.4640738,126.6451904
"숭의1,3동제2노상주차장 인중로26번길 52",37.46325268,126.641826
도화1동제2노상주차장 수봉북로 5,37.46628505,126.6648483
주안1동제1노상주차장 미추홀대로 716,37.46118534,126.6809553
주안5동제2노상주차장 주염로 58,37.4686747,126.6817257
주안7동제1노상주차장 인하로266번길 5 옆,37.44680843,126.6787567
